time,voltage,current,power,energy,frequency,pf,lvl1,lvl2
2025-09-06T01:53:26.842Z,0,0,0,0,0,0,0.34375,0.03125
2025-09-06T01:54:29.886Z,0,0,0,0,0,0,0.41935483870967744,0.12903225806451613
2025-09-06T01:55:32.901Z,0,0,0,0,0,0,0,0
2025-09-06T01:56:35.562Z,0,0,0,0,0,0,0,0
2025-09-06T01:57:38.251Z,0,0,0,0,0,0,0,0
2025-09-06T01:58:40.955Z,0,0,0,0,0,0,0,0
2025-09-06T01:59:42.314Z,0,0,0,0,0,0,0,0
2025-09-06T02:00:45.027Z,0,0,0,0,0,0,0,0
2025-09-06T02:01:47.741Z,0,0,0,0,0,0,0,0
2025-09-06T02:02:50.451Z,0,0,0,0,0,0,0,0
2025-09-06T02:03:53.474Z,0,0,0,0,0,0,0.3333333333333333,0.3
2025-09-06T02:04:56.164Z,0,0,0,0,0,0,0,0
2025-09-06T02:05:59.032Z,0,0,0,0,0,0,0.03125,0
2025-09-06T02:07:00.488Z,0,0,0,0,0,0,0,0
2025-09-06T02:08:03.332Z,0,0,0,0,0,0,0,0
2025-09-06T02:09:06.392Z,0,0,0,0,0,0,0,0
2025-09-06T02:10:09.580Z,0,0,0,0,0,0,0,0
2025-09-06T02:11:12.718Z,0,0,0,0,0,0,0,0
2025-09-06T02:12:15.600Z,0,0,0,0,0,0,0,0
2025-09-06T02:13:18.418Z,0,0,0,0,0,0,0,0
2025-09-06T02:14:19.788Z,0,0,0,0,0,0,0,0
2025-09-06T02:15:22.623Z,0,0,0,0,0,0,0.06451612903225806,0
2025-09-06T02:16:25.343Z,0,0,0,0,0,0,0.03225806451612903,0.03225806451612903
2025-09-06T02:17:27.904Z,0,0,0,0,0,0,0,0
2025-09-06T02:18:30.479Z,0,0,0,0,0,0,0,0
2025-09-06T02:19:32.981Z,0,0,0,0,0,0,0,0
2025-09-06T02:20:33.906Z,0,0,0,0,0,0,0,0
2025-09-06T02:21:36.511Z,0,0,0,0,0,0,0.06451612903225806,0.03225806451612903
2025-09-06T02:22:39.296Z,0,0,0,0,0,0,0.06451612903225806,0
2025-09-06T02:23:41.650Z,0,0,0,0,0,0,0,0.16129032258064516
2025-09-06T02:24:44.424Z,0,0,0,0,0,0,0,0
2025-09-06T02:25:47.081Z,0,0,0,0,0,0,0,0
2025-09-06T02:26:48.285Z,0,0,0,0,0,0,0,0
2025-09-06T02:27:51.180Z,0,0,0,0,0,0,0,0
2025-09-06T03:40:21.916Z,0,0,0,0,0,0,0.03571428571428571,0.9285714285714286
2025-09-06T03:41:21.893Z,0,0,0,0,0,0,0.1,1
2025-09-06T03:42:23.533Z,0,0,0,0,0,0,0,1.7419354838709677
2025-09-06T03:43:25.421Z,0,0,0,0,0,0,0,1.7096774193548387
2025-09-06T03:46:52.339Z,0,0,0,0,0,0,0.06666666666666667,1
