time,voltage,current,power,energy,frequency,pf,lvl1,lvl2
2025-12-30T04:15:27.582Z,0,0,0,0,0,0,0,0
2025-12-30T04:16:27.578Z,0,0,0,0,0,0,0,0
2025-12-30T04:17:27.578Z,0,0,0,0,0,0,0,0
2025-12-30T04:18:27.578Z,0,0,0,0,0,0,0,0
2025-12-30T04:19:27.600Z,0,0,0,0,0,0,0,0
2025-12-30T04:20:27.651Z,0,0,0,0,0,0,0,0
2025-12-30T04:21:27.848Z,0,0,0,0,0,0,0,0
2025-12-30T04:22:27.851Z,0,0,0,0,0,0,0,0
2025-12-30T04:23:27.848Z,0,0,0,0,0,0,0,0
2025-12-30T04:24:27.849Z,0,0,0,0,0,0,0,0
2025-12-30T04:25:27.849Z,0,0,0,0,0,0,0,0
2025-12-30T04:26:27.849Z,0,0,0,0,0,0,0,0
2025-12-30T04:27:27.852Z,0,0,0,0,0,0,0,0
2025-12-30T04:28:27.851Z,0,0,0,0,0,0,0,0
2025-12-30T04:29:27.852Z,0,0,0,0,0,0,0,0
2025-12-30T04:30:27.854Z,0,0,0,0,0,0,0,0
2025-12-30T04:31:27.853Z,0,0,0,0,0,0,0,0
2025-12-30T04:32:27.853Z,0,0,0,0,0,0,0,0
2025-12-30T04:33:27.852Z,0,0,0,0,0,0,0,0
2025-12-30T04:34:27.857Z,0,0,0,0,0,0,0,0
2025-12-30T04:35:27.858Z,0,0,0,0,0,0,0,0
