time,voltage,current,power,energy,frequency,pf
2025-09-03T01:10:43.082Z,0,0,0,0,0,0
2025-09-03T01:16:43.091Z,0,0,0,0,0,0
2025-09-03T01:49:43.188Z,0,0,0,0,0,0
2025-09-03T01:51:43.190Z,0,0,0,0,0,0
2025-09-03T01:53:43.190Z,0,0,0,0,0,0
2025-09-03T01:59:43.192Z,0,0,0,0,0,0
2025-09-03T02:00:43.192Z,0,0,0,0,0,0
2025-09-03T02:16:43.235Z,0,0,0,0,0,0
2025-09-03T02:17:43.236Z,0,0,0,0,0,0
2025-09-03T02:22:43.269Z,0,0,0,0,0,0
2025-09-03T02:24:43.728Z,0,0,0,0,0,0
2025-09-03T02:38:44.212Z,0,0,0,0,0,0
2025-09-03T02:59:50.847Z,0,0,0,0,0,0
2025-09-03T03:03:54.037Z,0,0,0,0,0,0
2025-09-03T03:17:05.323Z,0,0,0,0,0,0
2025-09-03T03:18:06.326Z,0,0,0,0,0,0
2025-09-03T03:19:07.342Z,0,0,0,0,0,0
2025-09-03T03:20:08.366Z,0,0,0,0,0,0
2025-09-03T03:23:10.923Z,0,0,0,0,0,0
2025-09-03T03:24:11.940Z,0,0,0,0,0,0
2025-09-03T03:25:12.957Z,0,0,0,0,0,0
2025-09-03T03:30:17.612Z,0,0,0,0,0,0
2025-09-03T03:31:18.649Z,0,0,0,0,0,0
2025-09-03T03:34:21.447Z,0,0,0,0,0,0
2025-09-03T03:37:24.555Z,0,0,0,0,0,0
2025-09-03T03:38:25.622Z,0,0,0,0,0,0
2025-09-03T03:39:26.658Z,0,0,0,0,0,0
2025-09-03T03:40:27.727Z,0,0,0,0,0,0
2025-09-03T03:41:28.299Z,0,0,0,0,0,0
2025-09-03T03:42:29.473Z,0,0,0,0,0,0
2025-09-03T03:43:30.648Z,0,0,0,0,0,0
2025-09-03T03:44:31.775Z,0,0,0,0,0,0
2025-09-03T03:46:34.036Z,0,0,0,0,0,0
2025-09-03T03:50:38.054Z,0,0,0,0,0,0
2025-09-03T03:51:39.205Z,0,0,0,0,0,0
2025-09-03T03:54:42.655Z,0,0,0,0,0,0
2025-09-03T04:26:15.386Z,0,0,0,0,0,0
2025-09-03T04:58:58.250Z,0,0,0,0,0,0
2025-09-03T05:01:00.749Z,109.5,22,3211,10.25,37.75,0.6775
2025-09-03T05:02:01.940Z,145,31.5,4557,16,50.5,0.9
2025-09-03T05:03:03.189Z,145,30,4350,13,50,0.9
2025-09-03T05:04:04.450Z,145.44444444444446,31.444444444444443,4568.555555555556,18.555555555555557,50.333333333333336,0.9055555555555556
2025-09-03T05:05:05.761Z,146.6,33,4835.4,24.6,49.8,0.8939999999999999
2025-09-03T06:20:42.925Z,116.8,27.2,3971.2,20,40,0.712
2025-09-03T06:21:44.376Z,146,34,4964,25,50,0.89
2025-09-03T06:22:45.769Z,146,34,4964,25,50,0.89
2025-09-03T06:23:47.183Z,146,34,4964,25,50,0.89
2025-09-03T06:24:48.586Z,146,34,4964,25,50,0.89
2025-09-03T08:36:18.133Z,0,0,0,0,0,0
2025-09-03T08:37:19.751Z,0,0,0,0,0,0
2025-09-03T08:38:21.380Z,0,0,0,0,0,0
2025-09-03T08:51:35.907Z,0,0,0,0,0,0
2025-09-03T08:52:36.699Z,146,34,4964,25,50,0.89
2025-09-03T08:54:35.373Z,0,0,0,0,0,0
2025-09-03T08:59:25.674Z,0,0,0,0,0,0
