time,voltage,current,power,energy,frequency,pf,lvl1,lvl2
2025-09-05T07:00:07.987Z,0,0,0,0,0,0,0,0
2025-09-05T07:01:07.987Z,0,0,0,0,0,0,0,0
2025-09-05T07:02:07.988Z,0,0,0,0,0,0,0,0
2025-09-05T07:03:07.988Z,0,0,0,0,0,0,0,0
2025-09-05T07:04:07.988Z,0,0,0,0,0,0,0,0
2025-09-05T07:05:07.989Z,0,0,0,0,0,0,0,0
2025-09-05T07:06:07.990Z,0,0,0,0,0,0,0,0
2025-09-05T07:07:07.992Z,0,0,0,0,0,0,0,0
2025-09-05T07:08:07.993Z,0,0,0,0,0,0,0,0
2025-09-05T07:09:07.993Z,0,0,0,0,0,0,0,0
2025-09-05T07:10:07.994Z,0,0,0,0,0,0,0,0
2025-09-05T07:11:07.995Z,0,0,0,0,0,0,0,0
2025-09-05T07:12:07.995Z,0,0,0,0,0,0,0,0
2025-09-05T07:13:07.996Z,179.84666666666666,0.0021333333333333334,0.02333333333333333,0.7666666666666667,38.32,0.0016666666666666668,0,0
2025-09-05T07:14:07.996Z,234.51666666666662,0.0023333333333333335,0,1,49.99666666666667,0,0,0
2025-09-05T07:15:07.997Z,234.5333333333333,0,0,1,49.99333333333334,0,0,0
2025-09-05T07:16:07.997Z,234.7366666666667,0,0,1,49.97666666666667,0,0,0
2025-09-05T07:17:07.997Z,234.4733333333333,0,0,1,50,0,0,0
2025-09-05T07:18:07.998Z,234.4533333333334,0,0,1,50,0,0,0
2025-09-05T07:19:07.998Z,234.61000000000004,0,0,1,50,0,0,0
2025-09-05T07:20:08.000Z,234.77666666666676,0,0,1,50,0,0,0
2025-09-05T07:21:08.000Z,234.84666666666664,0,0,1,49.99333333333334,0,0,0
2025-09-05T07:22:08.000Z,234.67,0,0,1,50,0,0,0
2025-09-05T07:23:08.001Z,235.42333333333337,0,0,1,50,0,0,0
2025-09-05T07:24:08.001Z,235.21999999999997,0,0,1,50,0,0,0
2025-09-05T07:25:08.002Z,234.99333333333334,0,0,1,50,0,0,0
2025-09-05T07:26:08.004Z,234.87666666666667,0,0,1,49.99666666666667,0,0,0
2025-09-05T07:27:08.005Z,234.71999999999994,0,0,1,49.96000000000001,0,0,0
2025-09-05T07:28:08.005Z,234.95999999999995,0,0,1,49.99666666666667,0,0,0
2025-09-05T07:29:08.005Z,235.36333333333326,0,0,1,50,0,0,0
2025-09-05T07:30:08.005Z,235.5566666666667,0,0,1,50,0,0,0
2025-09-05T07:31:08.005Z,235.4733333333333,0,0,1,50,0,0,0
2025-09-05T07:32:08.005Z,234.7833333333333,0,0,1,49.99333333333334,0,0,0
2025-09-05T07:33:08.005Z,234.6466666666667,0,0,1,49.973333333333336,0,0,0
2025-09-05T07:34:08.007Z,234.5466666666667,0,0,1,49.95333333333335,0,0,0
2025-09-05T07:35:08.006Z,234.87333333333336,0,0,1,49.99,0,0,0
2025-09-05T07:36:08.006Z,235.38666666666666,0,0,1,50,0,0,0
2025-09-05T07:37:08.006Z,235.62000000000003,0,0,1,50,0,0,0
2025-09-05T07:38:08.006Z,235.80000000000004,0,0,1,50,0,0,0
2025-09-05T07:39:08.006Z,235.3566666666667,0,0,1,50,0,0,0
2025-09-05T07:40:08.007Z,234.61333333333334,0,0,1,50,0,0,0
2025-09-05T07:41:08.007Z,234.72500000000005,0,0,1,50,0,0,0
2025-09-05T08:59:05.233Z,237.19999999999996,0,0,1,50,0,0,0
2025-09-05T09:00:05.231Z,236.9366666666666,0,0,1,50,0,0,0
2025-09-05T09:01:05.231Z,236.94333333333333,0,0,1,50,0,0,0
2025-09-05T09:02:05.231Z,237.06333333333333,0,0,1,50,0,0,0
2025-09-05T09:03:05.231Z,237.04333333333327,0,0,1,50,0,0,0
2025-09-05T09:04:05.232Z,237.3833333333333,0,0,1,50,0,0,0
2025-09-05T09:05:05.234Z,237.52083333333326,0,0,1,50,0,0,0
2025-09-05T10:09:49.605Z,0,0,0,0,0,0,0,0
2025-09-05T10:10:49.582Z,0,0,0,0,0,0,0,0
2025-09-05T10:11:49.581Z,0,0,0,0,0,0,0,0
2025-09-05T10:12:49.582Z,0,0,0,0,0,0,0,0
