time,voltage,current,power,energy,frequency,pf,lvl1,lvl2
2025-09-03T01:10:43.083Z,0,0,0,0,0,0,0,0
2025-09-03T01:16:43.092Z,0,0,0,0,0,0,0,0
2025-09-03T01:49:43.189Z,0,0,0,0,0,0,0,0
2025-09-03T01:51:43.191Z,0,0,0,0,0,0,0,0
2025-09-03T01:53:43.191Z,0,0,0,0,0,0,0,0
2025-09-03T01:59:43.193Z,0,0,0,0,0,0,0,0
2025-09-03T02:00:43.193Z,0,0,0,0,0,0,0,0
2025-09-03T02:16:43.236Z,0,0,0,0,0,0,0,0
2025-09-03T02:17:43.236Z,0,0,0,0,0,0,0,0
2025-09-03T02:22:43.269Z,0,0,0,0,0,0,0,0
2025-09-03T02:24:43.729Z,0,0,0,0,0,0,0,0
2025-09-03T02:38:44.213Z,0,0,0,0,0,0,0,0
2025-09-03T02:59:50.848Z,0,0,0,0,0,0,0,0
2025-09-03T03:03:54.038Z,0,0,0,0,0,0,0,0
2025-09-03T03:17:05.323Z,0,0,0,0,0,0,0,0
2025-09-03T03:18:06.327Z,0,0,0,0,0,0,0,0
2025-09-03T03:19:07.343Z,0,0,0,0,0,0,0,0
2025-09-03T03:20:08.367Z,0,0,0,0,0,0,0,0
2025-09-03T03:23:10.923Z,0,0,0,0,0,0,0,0
2025-09-03T03:24:11.940Z,0,0,0,0,0,0,0,0
2025-09-03T03:25:12.958Z,0,0,0,0,0,0,0,0
2025-09-03T03:30:17.613Z,0,0,0,0,0,0,0,0
2025-09-03T03:31:18.649Z,0,0,0,0,0,0,0,0
2025-09-03T03:34:21.448Z,0,0,0,0,0,0,0,0
2025-09-03T03:37:24.556Z,0,0,0,0,0,0,0,0
2025-09-03T03:38:25.623Z,0,0,0,0,0,0,0,0
2025-09-03T03:39:26.658Z,0,0,0,0,0,0,0,0
2025-09-03T03:40:27.728Z,0,0,0,0,0,0,0,0
2025-09-03T03:41:28.300Z,0,0,0,0,0,0,0,0
2025-09-03T03:42:29.473Z,0,0,0,0,0,0,0,0
2025-09-03T03:43:30.648Z,0,0,0,0,0,0,0,0
2025-09-03T03:44:31.775Z,0,0,0,0,0,0,0,0
2025-09-03T03:46:34.037Z,0,0,0,0,0,0,0,0
2025-09-03T03:50:38.055Z,0,0,0,0,0,0,0,0
2025-09-03T03:51:39.205Z,0,0,0,0,0,0,0,0
2025-09-03T03:54:42.656Z,0,0,0,0,0,0,0,0
2025-09-03T04:26:15.386Z,0,0,0,0,0,0,0,0
2025-09-03T04:58:58.250Z,0,0,0,0,0,0,0,0
2025-09-03T05:01:00.750Z,151,41,6192,13,49.5,0.86,2.5,1.5
2025-09-03T05:02:01.941Z,148,38,5624,16,50,0.83,1,0
2025-09-03T05:03:03.190Z,150,40,6004,15,49.5,0.85,2,1
2025-09-03T05:04:04.451Z,150.44444444444446,40.888888888888886,6154.444444444444,18.444444444444443,49.666666666666664,0.8544444444444445,1.6666666666666667,1.5555555555555556
2025-09-03T05:05:05.761Z,150,37,5550,24,50,0.82,1,0
2025-09-03T06:20:42.926Z,0,0,0,0,0,0,0,0
2025-09-03T06:21:44.377Z,0,0,0,0,0,0,0,0
2025-09-03T06:22:45.769Z,0,0,0,0,0,0,0,0
2025-09-03T06:23:47.184Z,0,0,0,0,0,0,0,0
2025-09-03T06:24:48.586Z,0,0,0,0,0,0,0,0
2025-09-03T08:36:18.134Z,0,0,0,0,0,0,0,0
2025-09-03T08:37:19.752Z,0,0,0,0,0,0,0,0
2025-09-03T08:38:21.380Z,0,0,0,0,0,0,0,0
2025-09-03T08:51:35.907Z,0,0,0,0,0,0,0,0
2025-09-03T08:52:36.700Z,0,0,0,0,0,0,0,0
2025-09-03T08:54:35.373Z,0,0,0,0,0,0,0,0
2025-09-03T08:59:25.675Z,0,0,0,0,0,0,0,0
