time,voltage,current,power,energy,frequency,pf,lvl1,lvl2
2025-12-29T03:29:52.477Z,0,0,0,0,0,0,0,0
2025-12-29T03:30:52.475Z,0,0,0,0,0,0,0,0
2025-12-29T03:31:52.477Z,0,0,0,0,0,0,0,0
2025-12-29T03:32:52.477Z,0,0,0,0,0,0,0,0
2025-12-29T03:33:52.479Z,0,0,0,0,0,0,0,0
2025-12-29T03:34:52.500Z,0,0,0,0,0,0,0,0
2025-12-29T03:35:52.481Z,0,0,0,0,0,0,0,0
2025-12-29T03:36:52.482Z,0,0,0,0,0,0,0,0
2025-12-29T03:37:52.482Z,0,0,0,0,0,0,0,0
2025-12-29T03:38:52.513Z,0,0,0,0,0,0,0,0
2025-12-29T03:39:52.483Z,0,0,0,0,0,0,0,0
2025-12-29T03:40:52.483Z,0,0,0,0,0,0,0,0
2025-12-29T03:41:52.485Z,0,0,0,0,0,0,0,0
2025-12-29T03:42:52.485Z,0,0,0,0,0,0,0,0
2025-12-29T03:43:52.484Z,0,0,0,0,0,0,0,0
2025-12-29T03:44:52.486Z,0,0,0,0,0,0,0,0
2025-12-29T03:45:52.487Z,0,0,0,0,0,0,0,0
2025-12-29T03:46:52.489Z,0,0,0,0,0,0,0,0
