time,voltage,current,power,energy,frequency,pf
2025-09-06T01:53:26.840Z,0,0,0,0,0,0
2025-09-06T01:54:29.886Z,0,0,0,0,0,0
2025-09-06T01:55:32.901Z,0,0,0,0,0,0
2025-09-06T01:56:35.562Z,0,0,0,0,0,0
2025-09-06T01:57:38.251Z,0,0,0,0,0,0
2025-09-06T01:58:40.955Z,0,0,0,0,0,0
2025-09-06T01:59:42.314Z,0,0,0,0,0,0
2025-09-06T02:00:45.026Z,0,0,0,0,0,0
2025-09-06T02:01:47.741Z,0,0,0,0,0,0
2025-09-06T02:02:50.450Z,0,0,0,0,0,0
2025-09-06T02:03:53.473Z,0,0,0,0,0,0
2025-09-06T02:04:56.164Z,0,0,0,0,0,0
2025-09-06T02:05:59.032Z,0,0,0,0,0,0
2025-09-06T02:07:00.487Z,0,0,0,0,0,0
2025-09-06T02:08:03.331Z,0,0,0,0,0,0
2025-09-06T02:09:06.392Z,0,0,0,0,0,0
2025-09-06T02:10:09.579Z,0,0,0,0,0,0
2025-09-06T02:11:12.717Z,0,0,0,0,0,0
2025-09-06T02:12:15.599Z,0,0,0,0,0,0
2025-09-06T02:13:18.417Z,0,0,0,0,0,0
2025-09-06T02:14:19.788Z,0,0,0,0,0,0
2025-09-06T02:15:22.622Z,0,0,0,0,0,0
2025-09-06T02:16:25.339Z,0,0,0,0,0,0
2025-09-06T02:17:27.903Z,0,0,0,0,0,0
2025-09-06T02:18:30.478Z,0,0,0,0,0,0
2025-09-06T02:19:32.981Z,0,0,0,0,0,0
2025-09-06T02:20:33.905Z,0,0,0,0,0,0
2025-09-06T02:21:36.510Z,0,0,0,0,0,0
2025-09-06T02:22:39.296Z,0,0,0,0,0,0
2025-09-06T02:23:41.649Z,0,0,0,0,0,0
2025-09-06T02:24:44.424Z,0,0,0,0,0,0
2025-09-06T02:25:47.080Z,0,0,0,0,0,0
2025-09-06T02:26:48.284Z,0,0,0,0,0,0
2025-09-06T02:27:51.180Z,0,0,0,0,0,0
2025-09-06T03:40:21.891Z,0,0,0,0,0,0
2025-09-06T03:41:21.892Z,0,0,0,0,0,0
2025-09-06T03:42:23.533Z,0,0,0,0,0,0
2025-09-06T03:43:25.421Z,0,0,0,0,0,0
2025-09-06T03:46:52.337Z,0,0,0,0,0,0
