time,temperature, vibrationX, vibrationY, vibrationZ
2025-12-16T07:05:46.895Z,38.19800000000001,305.3666666666667,1647.9333333333334,927.9666666666667
2025-12-16T07:06:46.894Z,38.18200000000001,237.1,697.3,315.46666666666664
2025-12-16T07:08:49.214Z,38.056774193548385,644.516129032258,2147.7096774193546,1000.6451612903226
2025-12-16T07:09:49.211Z,38.03266666666666,381.1666666666667,938.2333333333333,364.06666666666666
2025-12-16T07:10:49.213Z,38.16233333333333,295.8333333333333,766.7,218.23333333333332
2025-12-16T07:11:49.213Z,38.22766666666667,378.7,921.9333333333333,334.8
2025-12-16T07:12:49.214Z,38.255666666666656,318.8333333333333,896.0333333333333,279.6
2025-12-16T07:13:49.215Z,38.271999999999984,296.06666666666666,840.8666666666667,208.7
2025-12-16T07:14:49.215Z,38.276999999999994,293.4,824.6666666666666,282.1666666666667
2025-12-16T07:15:49.216Z,38.24033333333333,304.3666666666667,836.2666666666667,284.3666666666667
2025-12-16T07:16:49.217Z,38.12866666666666,278.1333333333333,795.7,206.53333333333333
2025-12-16T07:17:49.219Z,38.02266666666666,303.9,797.7333333333333,280.8333333333333
2025-12-16T07:18:49.219Z,37.908666666666676,258.96666666666664,788.8666666666667,172.06666666666666
2025-12-16T07:19:49.222Z,37.76700000000001,251.8,777.5333333333333,161.16666666666666
2025-12-16T07:20:49.224Z,37.653000000000006,327.5,836.9,327.6
2025-12-16T07:21:49.222Z,37.49966666666668,271.53333333333336,845.9666666666667,220.1
2025-12-16T07:22:49.225Z,37.38433333333333,337.26666666666665,790,220.03333333333333
2025-12-16T07:23:49.225Z,37.24500000000001,383.8666666666667,798.5666666666667,242.56666666666666
2025-12-16T07:24:49.226Z,37.136333333333326,504.1666666666667,1669.8666666666666,520.6
2025-12-16T07:25:49.227Z,36.99633333333335,319.3666666666667,868.5,168
2025-12-16T07:50:32.542Z,36.065200000000004,272.6,724.16,174.84
2025-12-16T07:51:32.600Z,36.132666666666665,1082.8,2361.233333333333,1559.7333333333333
2025-12-16T07:52:32.664Z,36.125,285.96666666666664,899.5,301.6333333333333
2025-12-16T07:53:32.589Z,36.04033333333334,278.1,698.1333333333333,215.4
2025-12-16T07:54:33.456Z,36.001363636363635,294.3636363636364,694.0909090909091,227.95454545454547
2025-12-16T07:55:35.177Z,36.06894736842106,280.8421052631579,682.8684210526316,182.1578947368421
2025-12-16T07:56:33.512Z,36.125,299.1,674.4,184.05
2025-12-16T07:58:56.244Z,35.92384615384615,427.0769230769231,919.3846153846154,595.5384615384615
2025-12-16T07:59:56.245Z,36.157000000000004,90.16666666666667,202.1,88
2025-12-16T08:00:56.247Z,36.453,468,1206.2666666666667,451.46666666666664
2025-12-16T08:01:56.246Z,36.586,158.3,545.4,1016.6
2025-12-16T08:02:56.247Z,36.78333333333333,256.6666666666667,583,789.6666666666666
