time,voltage,current,power,energy,frequency,pf,lvl1,lvl2
2025-09-02T02:20:34.447Z,0,0,0,0,0,0,0,0
2025-09-02T02:32:19.440Z,0,0,0,0,0,0,0,0
2025-09-02T02:33:20.304Z,0,0,0,0,0,0,0,0
2025-09-02T02:39:47.325Z,0,0,0,0,0,0,0,0
2025-09-02T02:40:47.325Z,30,8,5,2.4,1.4,2,0.4,0.2
2025-09-02T06:57:17.833Z,0,0,0,0,0,0,0,0
2025-09-02T07:05:32.103Z,150,40,25,12,7,10,2,1
2025-09-02T07:06:34.105Z,112.5,31.75,26,9,12,4,2,1
2025-09-02T07:29:00.311Z,0,0,0,0,0,0,0,0
2025-09-02T07:30:02.342Z,130,36.75,25.75,10.5,9.5,7,2,1
2025-09-02T07:31:03.358Z,150,40,25,12,7,10,2,1
2025-09-02T07:33:07.436Z,150,40,25,12,7,10,2,1
