time,voltage,current,power,energy,frequency,pf,lvl1,lvl2
2025-12-15T07:20:46.663Z,0,0,0,0,0,0,0,0
2025-12-15T07:21:46.661Z,0,0,0,0,0,0,0,0
2025-12-15T07:22:46.661Z,0,0,0,0,0,0,0,0
2025-12-15T07:23:46.662Z,0,0,0,0,0,0,0,0
2025-12-15T07:24:46.665Z,0,0,0,0,0,0,0,0
2025-12-15T07:25:46.665Z,0,0,0,0,0,0,0,0
2025-12-15T07:26:46.667Z,0,0,0,0,0,0,0,0
2025-12-15T07:27:46.668Z,0,0,0,0,0,0,0,0
2025-12-15T07:28:46.670Z,0,0,0,0,0,0,0,0
2025-12-15T07:29:46.671Z,0,0,0,0,0,0,0,0
2025-12-15T07:30:46.672Z,0,0,0,0,0,0,0,0
2025-12-15T07:31:46.676Z,0,0,0,0,0,0,0,0
2025-12-15T07:32:46.677Z,0,0,0,0,0,0,0,0
2025-12-15T07:33:46.677Z,0,0,0,0,0,0,0,0
2025-12-15T07:34:46.679Z,0,0,0,0,0,0,0,0
2025-12-15T07:35:46.680Z,0,0,0,0,0,0,0,0
2025-12-15T07:36:46.682Z,0,0,0,0,0,0,0,0
2025-12-15T07:37:46.685Z,0,0,0,0,0,0,0,0
2025-12-15T07:38:46.688Z,0,0,0,0,0,0,0,0
2025-12-15T07:39:46.686Z,0,0,0,0,0,0,0,0
2025-12-15T07:40:46.689Z,0,0,0,0,0,0,0,0
2025-12-15T07:41:46.691Z,0,0,0,0,0,0,0,0
2025-12-15T07:42:46.694Z,0,0,0,0,0,0,0,0
2025-12-15T07:43:46.698Z,0,0,0,0,0,0,0,0
2025-12-15T07:44:46.700Z,0,0,0,0,0,0,0,0
2025-12-15T07:45:46.702Z,0,0,0,0,0,0,0,0
2025-12-15T07:46:46.704Z,0,0,0,0,0,0,0,0
2025-12-15T07:47:46.705Z,0,0,0,0,0,0,0,0
2025-12-15T07:48:46.706Z,0,0,0,0,0,0,0,0
2025-12-15T07:49:46.708Z,0,0,0,0,0,0,0,0
2025-12-15T08:13:06.416Z,0,0,0,0,0,0,0,0
2025-12-15T08:14:06.417Z,0,0,0,0,0,0,0,0
2025-12-15T08:15:06.417Z,0,0,0,0,0,0,0,0
2025-12-15T08:16:06.421Z,0,0,0,0,0,0,0,0
2025-12-15T08:17:31.967Z,0,0,0,0,0,0,0,0
2025-12-15T08:18:31.966Z,0,0,0,0,0,0,0,0
2025-12-15T08:19:31.967Z,0,0,0,0,0,0,0,0
2025-12-15T08:20:31.968Z,0,0,0,0,0,0,0,0
2025-12-15T08:21:31.969Z,0,0,0,0,0,0,0,0
2025-12-15T08:22:31.971Z,0,0,0,0,0,0,0,0
2025-12-15T08:23:32.052Z,0,0,0,0,0,0,0,0
2025-12-15T08:24:32.053Z,0,0,0,0,0,0,0,0
2025-12-15T08:25:32.054Z,0,0,0,0,0,0,0,0
2025-12-15T08:26:32.055Z,0,0,0,0,0,0,0,0
2025-12-15T08:38:36.758Z,0,0,0,0,0,0,0,0
2025-12-15T08:39:36.760Z,0,0,0,0,0,0,0,0
2025-12-15T08:40:36.761Z,0,0,0,0,0,0,0,0
2025-12-15T08:41:36.763Z,0,0,0,0,0,0,0,0
2025-12-15T08:42:36.763Z,0,0,0,0,0,0,0,0
2025-12-15T09:00:36.783Z,0,0,0,0,0,0,0,0
2025-12-15T09:01:36.782Z,0,0,0,0,0,0,0,0
2025-12-15T09:02:36.783Z,0,0,0,0,0,0,0,0
2025-12-15T09:03:36.785Z,0,0,0,0,0,0,0,0
2025-12-15T09:04:36.788Z,0,0,0,0,0,0,0,0
2025-12-15T09:05:36.789Z,0,0,0,0,0,0,0,0
2025-12-15T09:06:36.791Z,0,0,0,0,0,0,0,0
2025-12-15T09:07:36.792Z,0,0,0,0,0,0,0,0
2025-12-15T09:08:36.792Z,0,0,0,0,0,0,0,0
2025-12-15T12:20:43.852Z,0,0,0,0,0,0,0,0
2025-12-15T12:21:43.852Z,0,0,0,0,0,0,0,0
2025-12-15T12:22:43.854Z,0,0,0,0,0,0,0,0
2025-12-15T12:23:43.856Z,0,0,0,0,0,0,0,0
2025-12-15T12:24:43.858Z,0,0,0,0,0,0,0,0
2025-12-15T12:25:43.860Z,0,0,0,0,0,0,0,0
2025-12-15T12:26:43.861Z,0,0,0,0,0,0,0,0
2025-12-15T12:27:43.862Z,0,0,0,0,0,0,0,0
2025-12-15T12:28:43.863Z,0,0,0,0,0,0,0,0
2025-12-15T12:29:43.865Z,0,0,0,0,0,0,0,0
2025-12-15T12:30:43.864Z,0,0,0,0,0,0,0,0
